,Date/Time,Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
10402,18 03 2018 17:40,12.5227403640747,3580.79240414503,229.081893920898
48726,19 12 2018 11:20,9.09061622619628,2202.56401872793,357.033508300781
27053,13 07 2018 02:20,8.46340942382812,1805.47834897331,45.7039184570312
16417,29 04 2018 14:40,8.36512374877929,1745.50178652923,72.3525466918945
42895,05 11 2018 06:00,12.5690002441406,3583.92745662266,65.3603897094726
18223,12 05 2018 05:40,12.2326002120971,3553.57553468507,33.8768615722656
27003,12 07 2018 18:00,9.08183193206787,2196.87291293846,56.246410369873
30544,06 08 2018 08:40,6.66232585906982,870.964661533866,64.5256118774414
4360,04 02 2018 18:30,9.41695594787597,2415.49053190872,40.4173889160156
48729,19 12 2018 11:50,8.85015106201171,2047.87402538592,2.1537389755249
30549,06 08 2018 09:30,6.05558490753173,642.899856992089,39.78125
3053,22 01 2018 08:30,3.71404409408569,79.6381284746349,50.1682090759277
37039,20 09 2018 20:00,11.949460029602,3513.87142387696,67.9343719482421
4182,03 02 2018 12:50,18.1751403808593,3600.0,198.766998291015
11394,25 03 2018 15:00,5.36464405059814,430.891923793845,207.456893920898
26801,11 07 2018 08:20,5.35216379165649,427.460331379645,36.0909385681152
41253,24 10 2018 16:50,10.2172803878784,2919.96717651331,263.5078125
49088,21 12 2018 23:40,9.38119220733642,2392.04646605906,202.267105102539
33129,24 08 2018 13:30,4.21114301681518,163.233074998677,26.9517498016357
19696,22 05 2018 11:10,6.49756813049316,805.03997373197,34.5277481079101
32949,23 08 2018 07:30,10.5566101074218,3092.35354375829,65.5049209594726
32840,22 08 2018 13:20,10.2372903823852,2931.03309812365,41.0471611022949
30334,04 08 2018 21:40,11.5953798294067,3444.50502757022,54.475788116455
15296,21 04 2018 19:50,5.36969184875488,432.28374959729,76.6086883544921
24483,25 06 2018 00:20,7.46560382843017,1240.1870493595,63.2538108825683
42537,02 11 2018 18:20,13.3232297897338,3600.0,64.4045715332031
12154,30 03 2018 21:40,4.88733577728271,308.796466279177,223.289001464843
11677,27 03 2018 14:10,6.95810222625732,997.238903085489,267.266510009765
35703,11 09 2018 10:40,4.15079021453857,151.51513201895,304.163604736328
46854,06 12 2018 09:40,17.0802898406982,3600.0,18.0494003295898
10132,16 03 2018 20:40,16.9470806121826,3600.0,197.003692626953
34896,05 09 2018 20:00,7.93265914916992,1491.67234306858,52.6924896240234
21139,01 06 2018 12:10,6.61344480514526,851.085657623259,27.1483192443847
5842,15 02 2018 01:30,7.39105796813964,1202.22511790292,205.065704345703
12561,02 04 2018 17:30,7.13631105422973,1078.55018946837,201.716796875
48207,15 12 2018 19:10,7.20064306259155,1108.92982546731,169.27310180664
5234,10 02 2018 20:10,7.40647602081298,1210.00837058995,116.316902160644
2983,21 01 2018 20:50,8.61181259155273,1897.37921573684,175.50210571289
26394,08 07 2018 12:30,5.80723905563354,561.879690535363,24.4291706085205
19684,22 05 2018 09:10,5.59645795822143,497.180536816074,52.6553916931152
29699,31 07 2018 11:20,5.57829284667968,491.806767414509,34.2280883789062
34379,02 09 2018 05:50,12.6666402816772,3589.48735647717,67.6876983642578
8870,08 03 2018 02:10,12.1311101913452,3540.8820382215,221.031799316406
44705,21 11 2018 10:20,4.27006578445434,174.851673553347,203.317001342773
19439,20 05 2018 16:20,7.29113006591796,1152.62235477537,58.7754402160644
39117,09 10 2018 20:50,12.4689998626708,3576.74104682675,55.6188583374023
34542,03 09 2018 09:00,9.22965621948242,2292.96719768497,62.5923881530761
47657,11 12 2018 23:30,6.25733280181884,714.29637979783,58.2895011901855
18734,15 05 2018 18:50,4.15079307556152,151.515683236965,192.113296508789
44428,19 11 2018 12:10,9.31523036956787,2348.86128077114,191.626205444335
33411,26 08 2018 12:30,5.34846210479736,426.445126110369,26.4990997314453
14458,15 04 2018 21:50,13.5444002151489,3600.0,81.8541107177734
577,05 01 2018 03:00,4.16093921661376,153.473005494325,30.1825408935546
13094,06 04 2018 10:30,3.16029000282287,23.1847108907286,89.5704269409179
36844,19 09 2018 11:30,8.79368782043457,2011.93433260901,40.1473388671875
7757,28 02 2018 08:40,7.72868299484252,1378.66518470136,216.52879333496
27233,14 07 2018 08:20,5.67473602294921,520.69882271901,17.9318809509277
18353,13 05 2018 03:20,9.07265853881835,2190.93258456477,55.5850982666015
31022,09 08 2018 16:20,10.8330602645874,3210.26045848291,42.7326583862304
43692,10 11 2018 18:50,5.50166606903076,469.479302126881,82.0119400024414
26960,12 07 2018 10:50,8.48974418640136,1821.67303991352,26.8641891479492
41193,24 10 2018 06:50,6.2078628540039,696.386162060087,215.571105957031
18406,13 05 2018 12:10,5.20558595657348,388.157714914246,14.0922899246215
41792,28 10 2018 10:40,6.64333200454711,863.20778538326,187.376602172851
33860,29 08 2018 15:20,8.24742412567138,1674.70848229589,20.1445808410644
18978,17 05 2018 11:30,4.46230220794677,214.062700143803,247.743499755859
44086,17 11 2018 03:10,9.24350833892822,2302.00340775728,60.0087699890136
10838,21 03 2018 18:20,9.7045783996582,2594.30419785461,232.705795288085
14361,15 04 2018 05:40,10.0771398544311,2839.14020403888,80.9197387695312
21433,03 06 2018 13:10,4.24204206466674,169.303467728337,33.7548103332519
38546,05 10 2018 21:40,12.3950595855712,3570.43958179221,70.3001632690429
35718,11 09 2018 13:10,6.70219421386718,887.38147944014,57.8170890808105
35112,07 09 2018 08:10,4.81876707077026,292.693087608202,286.31069946289
11409,25 03 2018 17:30,6.92051315307617,980.604356653028,207.272705078125
19808,23 05 2018 05:50,3.32506799697875,34.8557121161029,77.4328231811523
31865,15 08 2018 12:50,7.79334878921508,1413.97056977078,30.7887306213378
21656,05 06 2018 08:40,2.80264997482299,0.0,225.543106079101
36845,19 09 2018 11:40,8.97292423248291,2126.55106151868,33.1704597473144
39874,15 10 2018 03:00,8.6146650314331,1899.16029011518,51.6245994567871
8210,03 03 2018 12:10,15.3354196548461,3600.0,252.194198608398
1214,09 01 2018 13:50,4.58581113815307,240.387297185946,75.5808868408203
4125,03 02 2018 03:20,19.0104598999023,3600.0,196.752395629882
27191,14 07 2018 01:20,7.61693477630615,1318.86054198054,20.9987392425537
7685,27 02 2018 20:40,9.62127113342285,2533.21825474873,183.757904052734
21176,01 06 2018 18:20,12.140040397644,3542.06685922311,56.1924095153808
26999,12 07 2018 17:20,7.8126368522644,1424.59691064139,50.8398094177246
9714,13 03 2018 23:00,14.7024297714233,3600.0,215.725692749023
33841,29 08 2018 12:10,6.5268759727478,816.543909146283,18.7767105102539
14350,15 04 2018 03:50,14.1550302505493,3600.0,80.3098983764648
2396,17 01 2018 19:00,19.5890293121337,3600.0,191.04100036621
38527,05 10 2018 18:30,12.9658298492431,3597.80673348606,69.7567901611328
29846,01 08 2018 11:50,6.14230918884277,673.05707278193,19.3061695098876
34453,02 09 2018 18:10,12.793339729309,3594.5964056392,73.9608993530273
30188,03 08 2018 21:20,11.9917297363281,3520.65811454097,61.5695991516113
23191,16 06 2018 00:40,8.48768806457519,1820.40678909439,146.502700805664
46842,06 12 2018 07:40,15.0439596176147,3600.0,25.9838695526123
31822,15 08 2018 05:40,5.80125284194946,559.981220758899,70.8688583374023
9325,11 03 2018 06:10,11.6490802764892,3456.50913171483,213.16340637207
19914,23 05 2018 23:30,3.61080908775329,65.3929101426666,166.733306884765
21333,02 06 2018 20:30,6.09142398834228,655.264993719456,67.2496185302734
35420,09 09 2018 11:30,6.03023386001586,634.23616003214,26.713300704956
25432,01 07 2018 20:10,4.63085985183715,250.223995421407,44.3774604797363
33211,25 08 2018 03:10,6.18421792984008,687.918418119849,72.879783630371
44155,17 11 2018 14:40,7.71057987213134,1368.87165917291,67.9740371704101
43268,07 11 2018 20:10,5.75209999084472,544.529983945235,75.791893005371
7257,24 02 2018 21:20,6.87769317626953,961.86771679947,63.6591491699218
20953,31 05 2018 05:10,6.35489416122436,750.390357296103,40.3031501770019
25273,30 06 2018 17:40,7.83604478836059,1437.55092501458,248.958602905273
40288,18 10 2018 00:00,5.89790916442871,591.085027797518,64.2804718017578
46324,02 12 2018 16:10,4.34398317337036,189.686203296195,118.887100219726
28726,24 07 2018 17:10,3.93270611763,115.441851913315,4.01935100555419
23602,18 06 2018 21:20,4.13184404373168,147.873602644963,28.6630802154541
1161,09 01 2018 05:00,3.05612611770629,18.0480470537041,285.959991455078
41230,24 10 2018 13:00,7.64699983596801,1334.79646267653,261.489990234375
34006,30 08 2018 15:40,6.62631511688232,856.293326136444,28.0905208587646
5133,10 02 2018 03:20,7.07342720031738,1049.38835716368,77.539436340332
32307,18 08 2018 20:30,13.7753295898437,3600.0,67.1915664672851
31454,12 08 2018 16:20,10.7153701782226,3162.41037003639,40.3781700134277
3014,22 01 2018 02:00,3.54807901382446,57.5697768739665,217.492095947265
21283,02 06 2018 12:10,6.48780488967895,801.22888687201,35.1905708312988
10026,16 03 2018 03:00,7.5651512145996,1291.68611021717,203.35400390625
30368,05 08 2018 03:20,13.4824199676513,3600.0,59.64448928833
32888,22 08 2018 21:20,14.6960401535034,3600.0,71.0923690795898
9387,11 03 2018 16:30,5.23951005935668,397.092469401985,250.978698730468
33519,27 08 2018 06:30,5.20641994476318,388.376221808328,65.0550918579101
12714,03 04 2018 19:00,5.3541350364685,428.001442530823,47.5888595581054
35113,07 09 2018 08:20,4.63271808624267,250.63253114574,286.700500488281
9931,15 03 2018 11:10,5.82681894302368,568.114786992921,199.355194091796
44303,18 11 2018 15:20,7.55066585540771,1284.14752811919,168.315994262695
38485,05 10 2018 11:30,10.9014596939086,3236.52959286162,31.5297203063964
15622,24 04 2018 02:10,4.82109498977661,293.234329011595,68.3668365478515
16873,02 05 2018 18:40,5.11245822906494,364.115029484132,155.085800170898
15323,22 04 2018 00:20,5.51052522659301,472.032771028531,48.7648010253906
4639,06 02 2018 17:00,5.83779907226562,571.628517770016,74.2979736328125
20319,26 05 2018 19:00,12.7849702835083,3594.33142166921,52.2327003479003
7078,23 02 2018 15:30,10.1375503540039,2874.70378119887,57.439338684082
23866,20 06 2018 17:20,7.90400123596191,1475.51068851632,48.1694297790527
21797,06 06 2018 08:20,2.71108508110046,0.0,197.458801269531
7491,26 02 2018 12:20,7.23152017593383,1123.71120524598,122.696601867675
1840,13 01 2018 22:20,12.5643901824951,3583.62956795384,41.9079704284667
28109,20 07 2018 10:20,3.07511901855468,18.8552379496395,276.478698730468
22103,08 06 2018 11:20,3.64445400238037,69.8482049708982,52.9156913757324
10079,16 03 2018 11:50,7.34708499908447,1180.21926660476,209.601501464843
48040,14 12 2018 15:20,8.226167678833,1662.05044485144,196.083206176757
16242,28 04 2018 09:30,10.8602304458618,3220.82882333539,70.0173797607421
2430,18 01 2018 00:40,15.9152498245239,3600.0,191.284103393554
38484,05 10 2018 11:20,11.9063396453857,3506.62879534828,29.4659004211425
39559,12 10 2018 22:30,9.12042331695556,2221.89463789032,42.4266204833984
7110,23 02 2018 20:50,7.17287397384643,1095.74774732597,65.5260925292968
32945,23 08 2018 06:50,12.9111003875732,3597.25048305558,71.466453552246
49474,24 12 2018 16:00,19.6454906463623,3600.0,202.490997314453
47794,12 12 2018 22:20,7.51538705825805,1265.9043902144,205.891494750976
6059,16 02 2018 13:40,9.52033805847167,2455.92074569391,59.9489288330078
42147,31 10 2018 01:10,10.1537599563598,2884.05908069298,202.295593261718
41605,27 10 2018 03:30,9.78803825378417,2653.10884937765,187.09700012207
46471,03 12 2018 16:40,7.67409181594848,1349.25457181986,125.419898986816
25940,05 07 2018 08:50,5.04251813888549,346.514002630894,63.0694885253906
49621,25 12 2018 16:30,12.1518096923828,3543.60821579761,38.0436210632324
34414,02 09 2018 11:40,7.79582214355468,1415.33078282144,32.8371810913085
3932,01 02 2018 19:10,18.0791492462158,3600.0,191.158004760742
23792,20 06 2018 05:00,5.56716012954711,488.528810023918,47.6901016235351
43344,08 11 2018 08:50,6.67855215072631,877.624116201166,69.1234664916992
35452,09 09 2018 16:50,7.75056982040405,1390.55871538957,50.3177108764648
36796,19 09 2018 03:30,9.68542957305908,2580.47660928513,65.9150619506835
47707,12 12 2018 07:50,7.19170379638671,1104.67486788993,357.25210571289
30689,07 08 2018 08:50,7.30362176895141,1158.74437901009,34.004051208496
3812,31 01 2018 23:10,7.26364088058471,1139.22804605904,223.770904541015
19892,23 05 2018 19:50,5.65749883651733,515.469182041816,137.076095581054
6576,20 02 2018 03:50,8.85664653778076,2052.01885059467,69.0164031982421
30998,09 08 2018 12:20,11.3477096557617,3381.87397889762,38.4313812255859
1224,09 01 2018 15:30,5.03243780136108,344.008657760842,63.2237815856933
11674,27 03 2018 13:40,10.8141603469848,3202.80423227452,243.381103515625
35365,09 09 2018 02:20,6.94236278533935,990.252220286232,76.4452590942382
20012,24 05 2018 15:50,9.23001384735107,2293.20043021496,72.364143371582
7292,25 02 2018 03:10,9.75903224945068,2632.93934108104,38.2635192871093
21854,06 06 2018 17:50,5.70374584197998,529.565748311652,117.827003479003
16924,03 05 2018 03:10,4.09857892990112,141.521656751647,81.089973449707
11749,28 03 2018 02:10,6.32227897644042,738.209499507882,204.220901489257
24185,22 06 2018 22:40,7.90447282791137,1475.77591528263,219.629302978515
