,LV ActivePower (kW)
37018,2150.35791015625
13572,997.176025390625
27073,1266.18005371093
40196,1348.39404296875
29496,56.415901184082
22638,3557.69189453125
40338,1259.72900390625
41507,850.718017578125
13503,29.5401191711425
18421,139.647399902343
49310,1302.90295410156
37184,223.157897949218
38723,462.989288330078
44323,1226.98400878906
24921,157.294494628906
20488,1658.77001953125
31139,3290.64990234375
3085,1255.30895996093
25285,1875.373046875
25569,2192.14892578125
46224,15.0261602401733
28823,92.6903533935546
48147,3602.3779296875
6064,1868.46899414062
12548,558.566528320312
1796,3361.23706054687
45402,3602.251953125
21108,1621.82800292968
39291,2098.67309570312
14324,3567.92211914062
45061,3317.78002929687
50053,144.251007080078
8386,2.75912904739379
25827,523.418823242187
38632,1398.89904785156
31482,3423.15698242187
42461,2000.3349609375
11874,3113.00390625
37112,1268.28601074218
10642,3602.626953125
27899,117.464401245117
21064,664.581115722656
37504,365.659088134765
31472,3540.38500976562
44348,3462.52709960937
32525,2680.35693359375
27074,1423.125
12445,1085.0810546875
27898,205.387802124023
25132,2460.82788085937
36853,3202.88110351562
49206,3459.61596679687
23449,2.34747004508972
32005,533.583923339843
17469,2200.34008789062
30021,3036.7080078125
39413,0.0244666505604982
20847,2343.47705078125
21185,3583.037109375
1248,943.267395019531
28129,92.2795867919921
37090,2015.38500976562
39858,1361.86999511718
10617,3600.1201171875
35860,120.023803710937
10104,2488.9130859375
39922,895.961486816406
11607,3591.84399414062
25766,2126.00805664062
45006,1518.87194824218
37158,2274.31811523437
9644,3602.85009765625
41435,1551.08703613281
25698,859.767028808593
10537,849.777709960937
32546,3129.69702148437
13729,19.4797496795654
15944,629.526794433593
44403,3462.02587890625
14461,3119.39892578125
44119,1557.42700195312
3287,752.469177246093
50473,115.665702819824
25894,797.355712890625
31419,2650.63208007812
14001,148.442993164062
43446,496.439514160156
2346,3572.97412109375
43285,699.357177734375
45518,3601.19189453125
24939,158.113494873046
39979,491.943603515625
47525,2481.30395507812
5893,16.3467407226562
46039,394.876190185546
1092,791.889099121093
32828,1515.55004882812
49634,320.814910888671
25550,1439.19702148437
10728,3091.78198242187
16714,97.0986404418945
38236,494.050689697265
38330,639.1328125
18888,1997.98803710937
11291,49.9260292053222
15907,491.406707763671
45946,3600.251953125
44059,1186.76403808593
1162,5.91807079315185
25993,1472.18603515625
38870,44.2218208312988
11998,343.928100585937
12915,334.88150024414
29304,26.9077606201171
28782,223.647399902343
7118,1585.95300292968
17802,423.549285888671
41951,344.603302001953
342,189.137802124023
45430,3601.69897460937
20046,28.6579895019531
6251,155.367401123046
28999,101.386596679687
19415,545.374389648437
38803,625.643981933593
37021,2844.10107421875
46946,2855.83911132812
32255,1060.49401855468
7240,1646.14196777343
14440,3588.01293945312
29871,1068.88403320312
25826,381.867889404296
7730,3461.27807617187
21644,19.1370697021484
19576,1932.75500488281
8663,3589.85009765625
11552,2185.36791992187
47157,786.293273925781
21164,2140.23901367187
2409,3460.96508789062
38290,91.3123092651367
41319,381.031585693359
12317,3603.01196289062
27891,688.452880859375
37718,3571.81298828125
12171,751.41650390625
32375,2836.337890625
8323,3461.32006835937
22426,2950.625
5110,133.079895019531
20675,726.433715820312
38694,51.6561317443847
28012,116.068099975585
45701,3603.01806640625
46983,1195.01196289062
26316,1252.69299316406
11845,2831.22192382812
11043,3562.40698242187
41635,1190.42700195312
10174,3603.8759765625
11311,480.932006835937
10655,2840.15209960937
42106,3279.82495117187
19693,568.998596191406
2969,3245.8740234375
18939,1687.99096679687
18177,1847.01293945312
9543,3430.2080078125
37708,3426.23999023437
48304,1570.57397460937
20294,3132.30810546875
20771,1006.11999511718
7500,1550.44494628906
9686,2315.96997070312
24374,2506.85595703125
44994,1092.62194824218
40277,949.978515625
4057,3602.13110351562
40099,2056.07592773437
41275,2101.07299804687
32271,3190.45288085937
37381,173.877304077148
31151,3583.712890625
32045,191.91079711914
5943,2201.22412109375
11314,241.099197387695
32043,99.0359878540039
2395,3461.02392578125
6651,213.408599853515
37161,2042.51403808593
6627,330.193908691406
36941,2348.86791992187
10988,3591.92700195312
39087,1992.15795898437
30977,1208.5
47681,237.251998901367
47546,2352.90502929687
26966,1495.46594238281
12276,3604.19506835937
18144,391.90591430664
42660,1933.13500976562
14508,376.525299072265
32363,3603.32788085937
14429,3603.05590820312
23895,1974.65405273437
16988,204.772994995117
32276,2533.13696289062
11964,1566.8349609375
3678,296.469909667968
40104,1951.68896484375
9861,2398.96899414062
44759,386.023193359375
41979,1067.73095703125
1153,122.648300170898
13442,3153.82495117187
29723,2186.6708984375
37309,321.190887451171
28301,193.274002075195
32163,1083.57299804687
34534,1366.84497070312
33062,3152.2109375
25586,1275.08703613281
24564,2301.31005859375
9992,1503.67797851562
2360,3403.84106445312
47544,1957.06896972656
23611,16.8840293884277
8941,2502.61791992187
36690,2330.48291015625
31040,3505.47509765625
16880,365.471588134765
8056,2905.90991210937
40181,2015.06799316406
31359,3585.4189453125
21194,3081.5029296875
46555,1118.27099609375
30961,1998.48303222656
42759,295.77490234375
20800,1988.92199707031
47959,910.109375
20242,1193.80395507812
8133,3462.01293945312
36541,1577.47302246093
16095,158.001403808593
45706,3602.39990234375
33699,3248.88110351562
32295,2520.46997070312
15958,443.818389892578
29591,818.325012207031
32109,136.695007324218
20895,1935.28002929687
21315,1806.24096679687
44165,1131.84094238281
44498,560.357299804687
45511,3600.72705078125
44560,882.688781738281
43888,2175.90991210937
50516,1992.34899902343
14318,3557.57592773437
12451,1084.35302734375
16718,36.4899406433105
10873,410.130798339843
10658,2262.55493164062
46828,3600.8798828125
41772,3602.8759765625
47194,3602.07397460937
40301,33.1792106628417
8297,3602.80810546875
21606,82.7880706787109
28728,140.958999633789
34982,5.10120391845703
30520,2150.01000976562
39545,2569.63696289062
26706,228.940994262695
27694,230.239303588867
49248,3601.85693359375
24343,1087.82495117187
20737,3369.38500976562
49164,2117.52490234375
10411,3603.88208007812
14815,156.978195190429
1446,1471.79895019531
7114,1430.24597167968
5042,204.554397583007
10999,779.846130371093
35412,745.1220703125
926,3524.89892578125
30356,3582.76196289062
2431,3460.51611328125
21070,647.808715820312
40244,1718.7099609375
45124,981.829284667968
5030,33.3109092712402
45147,492.137390136718
20227,2129.8359375
45995,3538.26391601562
35152,7.99787282943725
12321,3602.82006835937
47371,3373.8359375
32051,267.807495117187
45456,3601.56909179687
24666,535.436279296875
29521,158.001495361328
43232,812.337524414062
42965,2187.7041015625
31915,674.00830078125
31615,2887.01196289062
19907,34.4364318847656
12143,422.341400146484
28806,21.4908199310302
2281,3574.10302734375
37790,3573.61499023437
39884,1914.61694335937
32669,996.786682128906
39999,22.2917404174804
30839,720.098693847656
49679,211.027404785156
33399,28.6212997436523
2551,3404.61596679687
17909,168.578002929687
4763,2400.06298828125
26452,179.428604125976
32728,1987.08898925781
41449,2796.21801757812
22610,3602.61401367187
3195,193.35530090332
41572,3471.2890625
22481,3192.14306640625
6675,3.44526600837707
5639,813.517883300781
20896,2037.58703613281
46012,2107.625
14867,3425.9140625
38436,3585.19604492187
1882,602.684326171875
38387,1763.20397949218
49344,1209.53100585937
30554,1050.22900390625
34283,1677.21203613281
27269,1149.41198730468
37462,813.2216796875
17705,367.090515136718
43546,1052.15295410156
14426,3561.955078125
23825,1597.31494140625
44505,502.790710449218
48706,2092.712890625
17304,2562.68701171875
47303,3598.31005859375
18849,187.997100830078
49346,1555.93896484375
8172,3462.67797851562
